length,weight_stock,utility
11,0.0,0.03291141463160737
11,0.05,0.034507687385246816
11,0.1,0.03535487549691252
11,0.15,0.03553720061813576
11,0.2,0.03531098006304576
11,0.25,0.034887958680540995
11,0.3,0.0343893665819059
11,0.35,0.03387566085198499
11,0.4,0.03339473628135652
11,0.45,0.032936608560928254
11,0.5,0.03249669949580174
11,0.55,0.03207451953261632
11,0.6,0.03167370222813633
11,0.65,0.03128663561368192
11,0.7,0.030912649635038952
11,0.75,0.030555363253114032
11,0.8,0.030215387968177215
11,0.85,0.02988725354207518
11,0.9,0.0295704840870884
11,0.95,0.029256782179761673
11,1.0,0.028942036244481495
12,0.0,0.035675870552195954
12,0.05,0.03766612570828641
12,0.1,0.03887531904056528
12,0.15,0.03942057445564384
12,0.2,0.039543421151550406
12,0.25,0.03944705932070876
12,0.3,0.039255967630694645
12,0.35,0.03903362615513121
12,0.4,0.03882475435050997
12,0.45,0.03862186382491278
12,0.5,0.03843980166976742
12,0.55,0.03827211278136368
12,0.6,0.038120925674610895
12,0.65,0.03798828062131937
12,0.7,0.03787320607821483
12,0.75,0.03776925374223118
12,0.8,0.03767909578635263
12,0.85,0.03759812004541284
12,0.9,0.03751754096189354
12,0.95,0.03743554815808048
12,1.0,0.0373607599251303
13,0.0,0.0381023049672781
13,0.05,0.04068327951357205
13,0.1,0.04245412401080362
13,0.15,0.04356371899859018
13,0.2,0.04419332822272344
13,0.25,0.044558484815919355
13,0.3,0.0448136214058784
13,0.35,0.04501302203465128
13,0.4,0.045193397185692666
13,0.45,0.04537303748427723
13,0.5,0.04556000957029199
13,0.55,0.045750049211956204
13,0.6,0.04594744381131294
13,0.65,0.04614293066269018
13,0.7,0.046345746786520314
13,0.75,0.04655492265063624
13,0.8,0.046775332100330955
13,0.85,0.04700651600821033
13,0.9,0.04724300531926287
13,0.95,0.0474846776872605
13,1.0,0.047735135942503226
