length,weight_stock,utility
4,0.0,0.02333231755811012
4,0.05,0.023904694505036024
4,0.1,0.023949211839224886
4,0.15,0.023833869110367806
4,0.2,0.023793084499961523
4,0.25,0.02383378171945959
4,0.3,0.023920712236234022
4,0.35,0.024063370490063216
4,0.4,0.024248813066697905
4,0.45,0.024463952447120595
4,0.5,0.02470740386651031
4,0.55,0.024970468860578278
4,0.6,0.025243639259817777
4,0.65,0.02552695492035619
4,0.7,0.02581562233635447
4,0.75,0.026110433134775665
4,0.8,0.026408491084449544
4,0.85,0.02670149722141202
4,0.9,0.026996354067771816
4,0.95,0.027296290577833532
4,1.0,0.02759841621393462
